
# Surface 0 of 1 surfaces

# Curve title: "'fS.dat' u 1:2:($3/1000) binary matrix"

# Contour 0, label:        3
-0.264045 0.627258 3 
-0.256186 0.637625 3 
-0.254013 0.645148 3 
-0.253236 0.647993 3 
-0.245368 0.658361 3 
-0.243645 0.660593 3 
-0.239564 0.668729 3 
-0.234543 0.679097 3 
-0.233278 0.680737 3 
-0.228898 0.689465 3 
-0.223462 0.699833 3 
-0.22291 0.700872 3 
-0.218226 0.710201 3 
-0.212769 0.720569 3 
-0.212542 0.720996 3 
-0.207548 0.730936 3 
-0.202174 0.741116 3 
-0.20208 0.741304 3 
-0.196865 0.751672 3 
-0.191806 0.76124 3 
-0.191214 0.76204 3 
-0.182833 0.772408 3 
-0.181438 0.775029 3 
-0.177562 0.782776 3 
-0.17214 0.793144 3 
-0.17107 0.795151 3 
-0.166885 0.803512 3 
-0.16144 0.81388 3 
-0.160702 0.815262 3 
-0.156202 0.824247 3 
-0.150734 0.834615 3 
-0.150334 0.835361 3 
-0.145513 0.844983 3 
-0.140007 0.855351 3 
-0.139967 0.855413 3 
-0.133655 0.865719 3 
-0.129599 0.871959 3 
-0.127094 0.876087 3 
-0.123033 0.886455 3 
-0.119231 0.892298 3 
-0.116488 0.896823 3 
-0.10987 0.907191 3 
-0.108863 0.909599 3 
-0.105878 0.917559 3 
-0.0992331 0.927926 3 
-0.098495 0.929054 3 
-0.0940237 0.938294 3 
-0.0885085 0.948662 3 
-0.0881271 0.949366 3 
-0.0834535 0.95903 3 
-0.0777592 0.966918 3 
-0.0763968 0.969398 3 
-0.0721004 0.979766 3 
-0.0673913 0.98736 3 
-0.0658707 0.990134 3 
-0.0598533 1.0005 3 
-0.0570234 1.00504 3 
-0.0543156 1.01087 3 
-0.0489836 1.02124 3 
-0.0466555 1.02547 3 
-0.04381 1.03161 3 
-0.0382271 1.04197 3 
-0.0362876 1.04463 3 
-0.0324847 1.05234 3 
-0.02625 1.06271 3 
-0.0259197 1.0632 3 
-0.0215814 1.07308 3 
-0.0155518 1.08228 3 
-0.0152823 1.08344 3 
-0.0110957 1.09381 3 
-0.00518395 1.1018 3 
0.00518395 1.1018 3 
0.0110957 1.09381 3 
0.0152823 1.08344 3 
0.0155518 1.08228 3 
0.0215814 1.07308 3 
0.0259197 1.0632 3 

# Contour 5, label: 
-0.699833 -0.177482 3 
-0.696382 -0.17107 3 
-0.690017 -0.160702 3 
-0.689465 -0.158351 3 
-0.685147 -0.150334 3 
-0.679273 -0.139967 3 
-0.679097 -0.139219 3 
-0.673911 -0.129599 3 
-0.668729 -0.120088 3 
-0.668534 -0.119231 3 
-0.662673 -0.108863 3 
-0.658361 -0.100958 3 
-0.657039 -0.098495 3 
-0.651433 -0.0881271 3 
-0.647993 -0.0818275 3 
-0.645808 -0.0777592 3 
-0.640192 -0.0673913 3 
-0.637625 -0.0626967 3 
-0.634576 -0.0570234 3 
-0.628003 -0.0466555 3 
-0.627258 -0.0435654 3 
-0.623341 -0.0362876 3 
-0.61725 -0.0259197 3 
-0.61689 -0.0244337 3 
-0.612106 -0.0155518 3 
-0.606522 -0.00530191 3 
-0.606494 -0.00518395 3 
-0.600868 0.00518395 3 
-0.596154 0.013828 3 
-0.595749 0.0155518 3 
-0.589629 0.0259197 3 
-0.585786 0.0329582 3 
-0.585 0.0362876 3 
-0.576757 0.0466555 3 
-0.575418 0.0520889 3 
-0.572768 0.0570234 3 
-0.565999 0.0673913 3 
-0.56505 0.0712201 3 
-0.561535 0.0777592 3 
-0.555237 0.0881271 3 
-0.554682 0.0903514 3 
-0.550301 0.098495 3 
-0.54447 0.108863 3 
-0.544314 0.109483 3 
-0.539064 0.119231 3 
-0.533947 0.128614 3 
-0.533709 0.129599 3 
-0.527826 0.139967 3 
-0.523579 0.147744 3 
-0.522951 0.150334 3 
-0.514775 0.160702 3 
-0.513211 0.166875 3 
-0.512188 0.17107 3 
-0.504007 0.181438 3 
-0.502843 0.186005 3 
-0.499729 0.191806 3 
-0.493235 0.202174 3 
-0.492475 0.205137 3 
-0.488495 0.212542 3 
-0.482458 0.22291 3 
-0.482107 0.224269 3 
-0.47726 0.233278 3 
-0.471739 0.2434 3 
-0.471679 0.243645 3 
-0.463579 0.254013 3 
-0.461371 0.26253 3 
-0.460911 0.264381 3 
-0.452807 0.274749 3 
-0.451003 0.28166 3 
-0.450138 0.285117 3 
-0.442029 0.295485 3 
-0.440635 0.300791 3 
-0.439361 0.305853 3 
-0.431246 0.316221 3 
-0.430268 0.319922 3 
-0.428579 0.326589 3 
-0.420458 0.336957 3 
-0.4199 0.339054 3 
-0.415456 0.347324 3 
-0.409664 0.357692 3 
-0.409532 0.35786 3 
-0.401636 0.36806 3 
-0.399164 0.377316 3 
-0.39888 0.378428 3 
-0.390853 0.388796 3 
-0.388796 0.396446 3 
-0.388097 0.399164 3 
-0.380065 0.409532 3 
-0.378428 0.415576 3 
-0.37731 0.4199 3 
-0.369271 0.430268 3 
-0.36806 0.434707 3 
-0.366517 0.440635 3 
-0.358471 0.451003 3 
-0.357692 0.451997 3 
-0.352976 0.461371 3 
-0.347665 0.471739 3 
-0.347324 0.472174 3 
-0.33971 0.482107 3 

# Contour 6, label: 
-1.06159 -0.844983 3 
-1.05598 -0.834615 3 
-1.05234 -0.827934 3 
-1.05036 -0.824247 3 
-1.04474 -0.81388 3 
-1.04197 -0.808803 3 
-1.03912 -0.803512 3 
-1.0335 -0.793144 3 
-1.03161 -0.789672 3 
-1.02789 -0.782776 3 
-1.02226 -0.772408 3 
-1.02124 -0.770541 3 
-1.01665 -0.76204 3 
-1.01101 -0.751672 3 
-1.01087 -0.751409 3 
-1.00541 -0.741304 3 
-1.0005 -0.732279 3 
-0.99978 -0.730936 3 
-0.994175 -0.720569 3 
-0.990134 -0.713148 3 
-0.988547 -0.710201 3 
-0.982935 -0.699833 3 
-0.979766 -0.694018 3 
-0.977314 -0.689465 3 
-0.971694 -0.679097 3 
-0.969398 -0.674887 3 
-0.966079 -0.668729 3 
-0.960453 -0.658361 3 
-0.95903 -0.655755 3 
-0.954844 -0.647993 3 
-0.949209 -0.637625 3 
-0.948662 -0.636624 3 
-0.943607 -0.627258 3 
-0.938294 -0.617493 3 
-0.93797 -0.61689 3 
-0.932369 -0.606522 3 
-0.927926 -0.598362 3 
-0.926739 -0.596154 3 
-0.92113 -0.585786 3 
-0.917559 -0.579232 3 
-0.915506 -0.575418 3 
-0.90989 -0.56505 3 
-0.907191 -0.560101 3 
-0.904272 -0.554682 3 
-0.898648 -0.544314 3 
-0.896823 -0.54097 3 
-0.893037 -0.533947 3 
-0.887406 -0.523579 3 
-0.886455 -0.521838 3 
-0.881801 -0.513211 3 
-0.876161 -0.502843 3 
-0.876087 -0.502707 3 
-0.870564 -0.492475 3 
-0.865719 -0.483576 3 
-0.864929 -0.482107 3 
-0.859325 -0.471739 3 
-0.855351 -0.464446 3 
-0.853698 -0.461371 3 
-0.848086 -0.451003 3 
-0.844983 -0.445315 3 
-0.842465 -0.440635 3 
-0.836845 -0.430268 3 
-0.834615 -0.426184 3 
-0.831231 -0.4199 3 
-0.825602 -0.409532 3 
-0.824247 -0.407053 3 
-0.819995 -0.399164 3 
-0.814358 -0.388796 3 
-0.81388 -0.387921 3 
-0.808759 -0.378428 3 
-0.803512 -0.36879 3 
-0.80312 -0.36806 3 
-0.797521 -0.357692 3 
-0.793144 -0.34966 3 
-0.791889 -0.347324 3 
-0.786281 -0.336957 3 
-0.782776 -0.33053 3 
-0.780657 -0.326589 3 
-0.77504 -0.316221 3 
-0.772408 -0.311399 3 
-0.769423 -0.305853 3 
-0.763798 -0.295485 3 
-0.76204 -0.292268 3 
-0.758189 -0.285117 3 
-0.752555 -0.274749 3 
-0.751672 -0.273136 3 
-0.746953 -0.264381 3 
-0.741306 -0.254013 3 
-0.735716 -0.243645 3 
-0.730936 -0.234874 3 
-0.730079 -0.233278 3 
-0.724477 -0.22291 3 
-0.720569 -0.215744 3 
-0.718848 -0.212542 3 
-0.713237 -0.202174 3 
-0.710201 -0.196613 3 
-0.707616 -0.191806 3 
-0.701995 -0.181438 3 
-0.699833 -0.177482 3 

# Contour 7, label: 
-1.41557 -1.49816 3 
-1.41522 -1.49752 3 
-1.40996 -1.48779 3 
-1.40485 -1.47839 3 
-1.40433 -1.47742 3 
-1.39872 -1.46706 3 
-1.39448 -1.45926 3 
-1.3931 -1.45669 3 
-1.38749 -1.44632 3 
-1.38411 -1.44012 3 
-1.38186 -1.43595 3 
-1.37625 -1.42559 3 
-1.37375 -1.42099 3 
-1.37063 -1.41522 3 
-1.36501 -1.40485 3 
-1.36338 -1.40186 3 
-1.35939 -1.39448 3 
-1.35376 -1.38411 3 
-1.35301 -1.38273 3 
-1.34816 -1.37375 3 
-1.34264 -1.3636 3 
-1.34252 -1.36338 3 
-1.33692 -1.35301 3 
-1.33227 -1.34447 3 
-1.33129 -1.34264 3 
-1.32568 -1.33227 3 
-1.32191 -1.32534 3 
-1.32006 -1.32191 3 
-1.31444 -1.31154 3 
-1.31154 -1.30621 3 
-1.30882 -1.30117 3 
-1.3032 -1.2908 3 
-1.30117 -1.28708 3 
-1.29759 -1.28043 3 
-1.29196 -1.27007 3 
-1.2908 -1.26795 3 
-1.28635 -1.2597 3 
-1.28072 -1.24933 3 
-1.28043 -1.24881 3 
-1.27511 -1.23896 3 
-1.27007 -1.22968 3 
-1.26948 -1.2286 3 
-1.26387 -1.21823 3 
-1.2597 -1.21055 3 
-1.25825 -1.20786 3 
-1.25264 -1.19749 3 
-1.24933 -1.19142 3 
-1.24701 -1.18712 3 
-1.2414 -1.17676 3 
-1.23896 -1.17229 3 
-1.23578 -1.16639 3 
-1.23015 -1.15602 3 
-1.2286 -1.15316 3 
-1.22454 -1.14565 3 
-1.21891 -1.13528 3 
-1.21823 -1.13403 3 
-1.21331 -1.12492 3 
-1.20786 -1.1149 3 
-1.20767 -1.11455 3 
-1.20207 -1.10418 3 
-1.19749 -1.09577 3 
-1.19644 -1.09381 3 
-1.19083 -1.08344 3 
-1.18712 -1.07664 3 
-1.18521 -1.07308 3 
-1.17959 -1.06271 3 
-1.17676 -1.05751 3 
-1.17397 -1.05234 3 
-1.16835 -1.04197 3 
-1.16639 -1.03837 3 
-1.16274 -1.03161 3 
-1.15711 -1.02124 3 
-1.15602 -1.01924 3 
-1.1515 -1.01087 3 
-1.14587 -1.0005 3 
-1.14565 -1.00011 3 
-1.14026 -0.990134 3 
-1.13528 -0.980981 3 
-1.13463 -0.979766 3 
-1.12902 -0.969398 3 
-1.12492 -0.961851 3 
-1.1234 -0.95903 3 
-1.11778 -0.948662 3 
-1.11455 -0.94272 3 
-1.11216 -0.938294 3 
-1.10654 -0.927926 3 
-1.10418 -0.923589 3 
-1.10093 -0.917559 3 
-1.0953 -0.907191 3 
-1.09381 -0.904458 3 
-1.08969 -0.896823 3 
-1.08406 -0.886455 3 
-1.08344 -0.885326 3 
-1.07846 -0.876087 3 
-1.07308 -0.866195 3 
-1.07282 -0.865719 3 
-1.06722 -0.855351 3 
-1.06271 -0.847065 3 
-1.06159 -0.844983 3 

